section,kategoriId,code,name,hex,rgb,sourceFile
Dış Cephe,,4933/CD-8206,Deniz Ruhu,#69717a,"105, 113, 122",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4934/CD-8207,Alacakaranlık,#515760,"81, 87, 96",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4927/CD-8200,Kristal Mavi,#b4bebe,"180, 190, 190",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4935/CD-8208,Dağ Buzulu,#a4afb1,"164, 175, 177",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4924/CD-8197,Nehir Sisi,#94a2a7,"148, 162, 167",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4920/CD-8193,Adrasan Mavisi,#708287,"112, 130, 135",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4926/CD-8199,Çakraz,#606f77,"96, 111, 119",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4922/CD-8195,Buzlu Yeşil,#c7cec6,"199, 206, 198",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4894/CD-8167,Sisli Orman,#aeb2a6,"174, 178, 166",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4897/CD-8170,Çamlıca Yeşili,#91a39b,"145, 163, 155",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4898/CD-8171,Belgrad Yeşili,#6f817a,"111, 129, 122",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4899/CD-8172,Amazon Yeşili,#54625d,"84, 98, 93",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4896/CD-8169,Ilgaz Yeşili,#c2c3ad,"194, 195, 173",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4890/CD-8163,Borçka,#a8aa92,"168, 170, 146",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4891/CD-8164,Toros Yeşili,#989878,"152, 152, 120",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4892/CD-8165,Zeytin Yaprağı,#72715a,"114, 113, 90",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
Dış Cephe,,4884/CD-8156,Sonsuz Güven,#53564d,"83, 86, 77",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
