section,kategoriId,code,name,hex,rgb,sourceFile
İç Cephe,,4455/Cİ-7563,Elegan Mor,#a8989e,"168, 152, 158",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4216/Cİ-7062,Sümbül,#bbb2b5,"187, 178, 181",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4215/Cİ-7061,Pembe Bulut,#d3c6c8,"211, 198, 200",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4466/Cİ-7584,Asil Viyole,#736b71,"115, 107, 113",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4465/Cİ-7583,Zarif Viyole,#999296,"153, 146, 150",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4105/Cİ-6432,Huzurlu Bej,#c8beba,"200, 190, 186",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4485/Cİ-7624,Kadife Gri,#6e6f6f,"110, 111, 111",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4419/Cİ-7484,Şafak Mavisi,#7c8a94,"124, 138, 148",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4424/Cİ-7494,Sessiz Mavi,#abb9c4,"171, 185, 196",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4426/Cİ-7501,Erciyes Mavisi,#c1cbce,"193, 203, 206",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4421/Cİ-7491,Su Perisi,#c7cecd,"199, 206, 205",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4430/Cİ-7505,Mistik Mor,#68758a,"104, 117, 138",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4439/Cİ-7524,Kır Çiçeği,#848b98,"132, 139, 152",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4437/Cİ-7522,Puslu Gri,#a1a9b1,"161, 169, 177",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4436/Cİ-7521,Görkemli Gri,#b3b9bd,"179, 185, 189",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4431/Cİ-7511,Buzlu Kar,#bbbec0,"187, 190, 192",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4361/Cİ-7365,Karadeniz Yeşili,#707566,"112, 117, 102",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4490/Cİ-7634,Çağla Yaprağı,#707566,"112, 117, 102",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4345/Cİ-7332,Royal Yeşil,#bcc0ae,"188, 192, 174",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4352/Cİ-7351,Çeşme Limonu,#c6c8b5,"198, 200, 181",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4333/Cİ-7305,Yeşil Toprak,#8f8671,"143, 134, 113",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,6980/Cİ-6980,Balerin,#dcd5d2,"220, 213, 210",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4000/Cİ-6201,Sakız Beyazı,#dcd6ce,"220, 214, 206",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4499/Cİ-7638,Çakıllı Toprak,#cdc8c6,"205, 200, 198",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4497/Cİ-7636,Saray Beyazı,#e7e3df,"231, 227, 223",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4498/Cİ-7637,Yeni Dingin Gri,#d7d5d2,"215, 213, 210",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4500/Cİ-7639,Turmalin Kumu,#474a4d,"71, 74, 77",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,3110/Cİ-3110,Samimi,#565758,"86, 87, 88",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,3140/Cİ-3140,Engin,#cecec9,"206, 206, 201",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,3010/Cİ-3010,Nazik,#626669,"98, 102, 105",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,3020/Cİ-3020,Çekici,#7d7f7f,"125, 127, 127",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,3030/Cİ-3030,Sempatik,#b4b4b1,"180, 180, 177",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,3050/Cİ-3050,Zinde,#494f52,"73, 79, 82",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,3060/Cİ-3060,Özgür,#59626b,"89, 98, 107",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,3070/Cİ-3070,Sevinç,#6a757d,"106, 117, 125",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,3080/Cİ-3080,Neşe,#a7aeb1,"167, 174, 177",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,3090/Cİ-3090,Sevecen,#c7cccc,"199, 204, 204",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4418/Cİ-4418,Mina Mavisi,#94a2ac,"148, 162, 172",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6620,Yeni Nergis,#e8e0d2,"232, 224, 210",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6650,Yeni Kum,#e9dfcf,"233, 223, 207",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6710,Yeni Albatros,#ede9dc,"237, 233, 220",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6680,Yeni Pudra,#f1f0e8,"241, 240, 232",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6690,Yeni Günışığı,#f1eee5,"241, 238, 229",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6870,Beyaz Kiraz,#f8f6e9,"248, 246, 233",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6880,Olgun Beyaz,#ecece4,"236, 236, 228",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6830,Elegan Beyaz,#f7eeea,"247, 238, 234",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6840,Beyaz Kaşmir,#faede9,"250, 237, 233",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6850,Karizmatik Beyaz,#efe7e5,"239, 231, 229",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6770,Yeni Köpük,#f3ebe3,"243, 235, 227",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6780,Yeni Bahar,#f3ebe8,"243, 235, 232",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6890,Sade Beyaz,#f6eff0,"246, 239, 240",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6900,Narin Beyaz,#f7eced,"247, 236, 237",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
